assemblage.name;locality.idlocality;locality.x;locality.y;query_age_min;query_age_max;age_comments
Aar Layer 1 Archaeological Assemblage;Aar 1;16.488989;-26.772622;30000;300000;Absolute date not avaliable. Waiting for date through archaeological material;
Aar Layer 4-2 Archaeological Assemblage;Aar 1;16.488989;-26.772622;25000;40000;Absolute date not avaliable. Waiting for date through archaeological material;
Aar 2 Layer 4-1 Archaeological Assemblage;Aar 2;16.468356;-26.728179;30000;300000;;
MSA hilltop rubble;Aasvoelkop;28;-26.17;30000;300000;;
Abdur MSA assamblage;Abdur Archaeological Site;39.864369;15.151203;118000;132000;;
Abri Blanchard des Roches Exc. Didon Archaeological Assemblage;Abri Blanchard des Roches;1.101003;45.000152;30000;43000;;
Abri Blanchard des Roches Sector 1 Archaeological Assemblage;Abri Blanchard des Roches;1.101003;45.000152;30000;43000;;
Abri Blanchard des Roches Sector 4/5 Unit C Archaeological Assemblage;Abri Blanchard des Roches;1.101003;45.000152;30000;43000;;
Abri Caminade Est Unit D1 Archaeological Assemblage;Abri Caminade;1.248703;44.868487;30000;35130;;
Abri Caminade Est Unit D2i Archaeological Assemblage;Abri Caminade;1.248703;44.868487;33150;35130;;
Abri Caminade Est Unit D2s Archaeological Assemblage;Abri Caminade;1.248703;44.868487;33150;35130;;
Abri Caminade Est Unit F Archaeological Assemblage;Abri Caminade;1.248703;44.868487;34300;36500;;
Abri Caminade Est Unit G Archaeological Assemblage;Abri Caminade;1.248703;44.868487;35700;38700;;
Abri Caminade Est Unit M1 Archaeological Assemblage;Abri Caminade;1.248703;44.868487;35700;300000;;
Abri Caminade Est Unit M2 Archaeological Assemblage;Abri Caminade;1.248703;44.868487;35700;300000;;
Abri Caminade Est Unit M3 Archaeological Assemblage;Abri Caminade;1.248703;44.868487;35700;300000;;
Abri Caminade Ouest Unit C Archaeological Assemblage;Abri Caminade;1.248703;44.868487;30000;43000;;
Abri Caminade Ouest Unit E Archaeological Assemblage;Abri Caminade;1.248703;44.868487;30000;43000;;
Abri Castanet Exc. Peyrony Unit A Archaeological Assemblage;Abri Castanet;1.101332;44.999663;30000;43000;;
Abri Castanet Exc. Peyrony Unit C Archaeological Assemblage;Abri Castanet;1.101332;44.999663;30000;43000;;
Abri Castanet Southern Sector Unit I Archaeological Assemblage;Abri Castanet;1.101332;44.999663;24710;34840;;
